,playerID,yearID,stint,G,AB,R,H,Doubles,Triples,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,PA,OBP,SLG,SalYear,teamID,lgID,salary,lnSal,debutyr,Exp,Arb,Free,POS,Catch,Infld
4623,martiti02,1994,1,97,329,42,86,21,0,20,61.0,1.0,2.0,29,52.0,2.0,1.0,4.0,3.0,9.0,366.0,0.32044198895027626,0.5075987841945289,1995,SEA,AL,1025000,13.840203170554645,1990,4,1,0,1B,0,0
4624,martiti02,1995,1,141,519,92,152,35,3,31,111.0,0.0,0.0,62,91.0,15.0,4.0,2.0,6.0,10.0,593.0,0.3688663282571912,0.5510597302504817,1996,NYA,AL,2300000,14.648419680899378,1990,5,1,0,1B,0,0
4625,martiti02,1996,1,155,595,82,174,28,0,25,117.0,2.0,1.0,68,85.0,4.0,2.0,1.0,5.0,18.0,671.0,0.3641791044776119,0.46554621848739497,1997,NYA,AL,4400000,15.29711509888849,1990,6,1,0,1B,0,0
4626,martiti02,1997,1,158,594,96,176,31,2,44,141.0,3.0,1.0,75,75.0,14.0,3.0,0.0,13.0,15.0,685.0,0.3708029197080292,0.5774410774410774,1998,NYA,AL,4300000,15.27412558066379,1990,7,0,1,1B,0,0
4627,martiti02,1998,1,142,531,92,149,33,1,28,123.0,2.0,1.0,61,83.0,3.0,6.0,0.0,10.0,18.0,608.0,0.35526315789473684,0.504708097928437,1999,NYA,AL,4300000,15.27412558066379,1990,8,0,1,1B,0,0
4628,martiti02,1999,1,159,589,95,155,27,2,28,105.0,3.0,4.0,69,86.0,7.0,3.0,0.0,4.0,14.0,665.0,0.34135338345864663,0.45840407470288624,2000,NYA,AL,4800000,15.38412647587812,1990,9,0,1,1B,0,0
4629,martiti02,2000,1,155,569,69,147,37,4,16,91.0,4.0,1.0,52,74.0,9.0,8.0,0.0,3.0,16.0,632.0,0.3275316455696203,0.421792618629174,2001,NYA,AL,6300000,15.65606019136176,1990,10,0,1,1B,0,0
4630,martiti02,2001,1,154,589,89,165,24,2,34,113.0,1.0,2.0,42,89.0,2.0,2.0,0.0,2.0,12.0,635.0,0.3291338582677165,0.5008488964346349,2002,SLN,NL,5750000,15.564710412773533,1990,11,0,1,1B,0,0
4631,martiti02,2002,1,150,511,63,134,25,1,21,75.0,3.0,2.0,58,71.0,9.0,2.0,1.0,4.0,12.0,576.0,0.3373913043478261,0.4383561643835616,2003,SLN,NL,7500000,15.830413578506539,1990,12,0,1,1B,0,0
4632,martiti02,2003,1,138,476,66,130,25,2,15,69.0,1.0,1.0,53,71.0,7.0,9.0,2.0,7.0,14.0,547.0,0.3522935779816514,0.42857142857142855,2004,TBA,AL,7500000,15.830413578506539,1990,13,0,1,1B,0,0
4633,martiti02,2004,1,138,458,63,120,20,1,23,76.0,3.0,1.0,66,72.0,9.0,9.0,0.0,5.0,10.0,538.0,0.362453531598513,0.4606986899563319,2005,NYA,AL,2750000,14.827111469642754,1990,14,0,1,1B,0,0
4634,martivi01,2003,1,49,159,15,46,4,0,1,16.0,1.0,1.0,13,21.0,0.0,1.0,0.0,1.0,8.0,174.0,0.3448275862068966,0.3333333333333333,2004,CLE,AL,304500,12.626426366132089,2002,1,0,0,C,1,0
4635,martivi01,2004,1,141,520,77,147,38,1,23,108.0,0.0,1.0,60,69.0,11.0,5.0,0.0,6.0,16.0,591.0,0.3587140439932318,0.49230769230769234,2005,CLE,AL,372100,12.826917914334715,2002,2,0,0,C,1,0
4636,martivi01,2005,1,147,547,73,167,33,0,20,80.0,0.0,1.0,63,78.0,9.0,5.0,0.0,7.0,16.0,622.0,0.3778135048231511,0.4753199268738574,2006,CLE,AL,1000000,13.815510557964274,2002,3,1,0,C,1,0
4637,martivi01,2006,1,153,572,82,181,37,0,16,93.0,0.0,0.0,71,78.0,8.0,3.0,0.0,6.0,27.0,652.0,0.3911042944785276,0.46503496503496505,2007,CLE,AL,3200000,14.978661367769956,2002,4,1,0,C,1,0
4638,martivi01,2007,1,147,562,78,169,40,0,25,114.0,0.0,0.0,62,76.0,12.0,10.0,0.0,11.0,19.0,645.0,0.3736434108527132,0.505338078291815,2008,CLE,AL,4450000,15.308414654142423,2002,5,1,0,C,1,0
4639,martivi01,2008,1,73,266,30,74,17,0,2,35.0,0.0,0.0,24,32.0,4.0,1.0,0.0,3.0,12.0,294.0,0.336734693877551,0.36466165413533835,2009,CLE,AL,5900000,15.590462908875947,2002,6,1,0,C,1,0
4640,martivi01,2009,3,155,588,88,178,33,1,23,108.0,1.0,0.0,75,74.0,3.0,3.0,0.0,6.0,17.0,672.0,0.38095238095238093,0.47959183673469385,2010,BOS,AL,7700000,15.856730886823913,2002,7,0,1,C,1,0
4641,martivi01,2010,1,127,493,64,149,32,1,20,79.0,1.0,0.0,40,52.0,5.0,0.0,0.0,5.0,17.0,538.0,0.3513011152416357,0.49290060851926976,2011,DET,AL,12000000,16.300417207752275,2002,8,0,1,C,1,0
