assists,gameWinningGoals,games,gamesStarted,goalAgainstAverage,goals,goalsAgainst,overTimeGoals,plusMinus,points,powerPlayGoals,powerPlayPoints,savePercentage,saves,shortHandedGoals,shortHandedPoints,shots,shotsAgainst,wins,blocked,evenSaves,evenShots,evenStrengthSavePercentage,faceOffPct,hits,powerPlaySavePercentage,powerPlaySaves,powerPlayShots,shortHandedSavePercentage,shortHandedSaves,shortHandedShots,position_code_C,position_code_D,position_code_G,position_code_L,position_code_R,timeOnIce,timeOnIcePerGame,evenTimeOnIce,evenTimeOnIcePerGame,powerPlayTimeOnIce,powerPlayTimeOnIcePerGame,shortHandedTimeOnIce,shortHandedTimeOnIcePerGame,normalized_vote_pct
0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,3552,296,3522,293,24,2,6,0,0.0
0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,2469,493,2248,449,200,40,21,4,0.0
29.0,6.0,82.0,0.0,0.0,22.0,0.0,1.0,-8.0,51.0,6.0,17.0,0.0,0.0,0.0,0.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,78538,957,62493,762,15904,193,141,1,0.0
26.0,1.0,70.0,0.0,0.0,11.0,0.0,0.0,7.0,37.0,4.0,16.0,0.0,0.0,1.0,4.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,107218,1531,75956,1085,20423,291,10839,154,0.0
43.0,5.0,78.0,0.0,0.0,32.0,0.0,1.0,-3.0,75.0,15.0,30.0,0.0,0.0,0.0,0.0,239.0,0.0,0.0,0.0,0.0,0.0,0.0,46.73,47.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,96513,1237,72333,927,23661,303,519,6,0.0
35.0,5.0,80.0,0.0,0.0,25.0,0.0,2.0,19.0,60.0,3.0,10.0,0.0,0.0,6.0,10.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0,52.43,132.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,97083,1213,65354,816,14677,183,17052,213,0.0071151358344113845
5.0,1.0,74.0,0.0,0.0,2.0,0.0,0.0,-2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,49507,669,47837,646,94,1,1576,21,0.0
22.0,1.0,81.0,0.0,0.0,12.0,0.0,0.0,23.0,34.0,7.0,19.0,0.0,0.0,0.0,2.0,232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,140425,1733,94273,1163,20735,255,25417,313,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,431,431,302,302,0,0,129,129,0.0
8.0,1.0,67.0,0.0,0.0,3.0,0.0,0.0,12.0,11.0,2.0,3.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,74211,1107,57345,855,9153,136,7713,115,0.0
22.0,0.0,76.0,0.0,0.0,10.0,0.0,0.0,15.0,32.0,2.0,10.0,0.0,0.0,1.0,2.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,116573,1533,82189,1081,13388,176,20996,276,0.0
12.0,1.0,59.0,0.0,0.0,3.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,59.07,68.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,29587,501,28568,484,270,4,749,12,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,171,171,155,155,16,16,0,0,0.0
35.0,4.0,71.0,0.0,0.0,17.0,0.0,0.0,18.0,52.0,1.0,12.0,0.0,0.0,4.0,5.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,49.34,135.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,79903,1125,55353,779,11254,158,13296,187,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,250,250,242,242,0,0,8,8,0.0
15.0,4.0,80.0,0.0,0.0,12.0,0.0,0.0,-4.0,27.0,3.0,3.0,0.0,0.0,1.0,1.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,53.8,181.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,60082,751,53481,668,2095,26,4506,56,0.0
6.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,22708,841,19615,726,2054,76,1039,38,0.0
