,away,home,home_team,away_team,time
20171026_031714,2,3,Toronto Maple Leafs,Los Angeles Kings,20171026_031714
20171026_231603,4,1,New York Rangers,San Jose Sharks,20171026_231603
20171028_211611,0,1,Buffalo Sabres,Detroit Red Wings,20171028_211611
20171028_211718,3,5,New York Islanders,Arizona Coyotes,20171028_211718
20171028_171715,6,2,Philadelphia Flyers,Anaheim Ducks,20171028_171715
20171028_231720,1,2,Pittsburgh Penguins,Edmonton Oilers,20171028_231720
20171025_232547,5,1,Carolina Hurricanes,Tampa Bay Lightning,20171025_232547
20171028_021630,1,5,Montréal Canadiens,Florida Panthers,20171028_021630
20171028_154723,2,2,Ottawa Senators,Los Angeles Kings,20171028_154723
20171027_211709,2,2,Nashville Predators,Calgary Flames,20171027_211709
20171027_141600,1,0,Minnesota Wild,Vancouver Canucks,20171027_141600
20171026_154712,3,5,Colorado Avalanche,Dallas Stars,20171026_154712
20171028_204738,2,4,Vegas Golden Knights,Chicago Blackhawks,20171028_204738
20171028_211603,1,5,Columbus Blue Jackets,Buffalo Sabres,20171028_211603
20171027_224543,2,5,St. Louis Blues,Calgary Flames,20171027_224543
20171030_031729,1,2,Boston Bruins,San Jose Sharks,20171030_031729
20171030_164727,6,3,Toronto Maple Leafs,Carolina Hurricanes,20171030_164727
20171030_204723,2,5,New York Rangers,Arizona Coyotes,20171030_204723
20171030_231723,1,2,Pittsburgh Penguins,Winnipeg Jets,20171030_231723
20171030_171733,4,0,Montréal Canadiens,Los Angeles Kings,20171030_171733
20171030_214730,4,5,Ottawa Senators,Philadelphia Flyers,20171030_214730
20171030_214732,2,3,Tampa Bay Lightning,Detroit Red Wings,20171030_214732
20171030_194623,3,8,Florida Panthers,Anaheim Ducks,20171030_194623
20171030_214623,4,6,Minnesota Wild,New York Islanders,20171030_214623
20171030_174740,4,5,Edmonton Oilers,Dallas Stars,20171030_174740
20171030_164741,2,6,Vancouver Canucks,Washington Capitals,20171030_164741
20171031_191607,0,7,Vegas Golden Knights,Colorado Avalanche,20171031_191607
20171031_154611,4,4,New Jersey Devils,Ottawa Senators,20171031_154611
20171029_004547,1,2,Columbus Blue Jackets,Winnipeg Jets,20171029_004547
20171031_204726,2,1,Carolina Hurricanes,St. Louis Blues,20171031_204726
20171031_201725,2,1,Chicago Blackhawks,Nashville Predators,20171031_201725
20171031_221723,2,1,Calgary Flames,Dallas Stars,20171031_221723
20171101_194713,3,2,Buffalo Sabres,San Jose Sharks,20171101_194713
20171101_214715,2,1,Boston Bruins,Los Angeles Kings,20171101_214715
20171101_224717,4,2,Toronto Maple Leafs,Philadelphia Flyers,20171101_224717
20171031_184703,4,5,Montréal Canadiens,New York Rangers,20171031_184703
20171101_051720,4,1,Tampa Bay Lightning,Anaheim Ducks,20171101_051720
20171101_164722,2,2,Florida Panthers,Detroit Red Wings,20171101_164722
20171101_234724,3,4,New Jersey Devils,Arizona Coyotes,20171101_234724
20171101_051724,1,4,St. Louis Blues,Columbus Blue Jackets,20171101_051724
20171031_111608,6,2,Nashville Predators,New York Islanders,20171031_111608
20171031_151608,1,2,Minnesota Wild,Pittsburgh Penguins,20171031_151608
20171101_214728,3,6,Colorado Avalanche,Chicago Blackhawks,20171101_214728
20171031_181606,5,2,Edmonton Oilers,Washington Capitals,20171031_181606
20171102_091718,3,3,Carolina Hurricanes,Anaheim Ducks,20171102_091718
20171102_174716,1,7,Winnipeg Jets,Pittsburgh Penguins,20171102_174716
20171102_141719,1,2,Calgary Flames,Washington Capitals,20171102_141719
20171103_184707,3,6,New York Islanders,Vegas Golden Knights,20171103_184707
20171103_174709,4,3,Philadelphia Flyers,Arizona Coyotes,20171103_174709
20171102_184704,3,3,Columbus Blue Jackets,Boston Bruins,20171102_184704
20171103_184712,8,3,Ottawa Senators,Montréal Canadiens,20171103_184712
20171103_144713,8,5,Florida Panthers,Tampa Bay Lightning,20171103_144713
20171103_214715,2,4,St. Louis Blues,Los Angeles Kings,20171103_214715
20171103_211719,2,1,Vancouver Canucks,Dallas Stars,20171103_211719
20171102_024719,2,3,San Jose Sharks,Toronto Maple Leafs,20171102_024719
20171104_014721,4,6,New York Rangers,Vegas Golden Knights,20171104_014721
20171103_174704,3,5,Detroit Red Wings,Arizona Coyotes,20171103_174704
20171104_204723,2,1,Minnesota Wild,Winnipeg Jets,20171104_204723
20171105_161715,0,3,Chicago Blackhawks,Philadelphia Flyers,20171105_161715
20171105_184718,3,2,Edmonton Oilers,Pittsburgh Penguins,20171105_184718
20171105_094724,2,0,Vancouver Canucks,New Jersey Devils,20171105_094724
20171105_094726,3,1,Anaheim Ducks,Toronto Maple Leafs,20171105_094726
20171105_161720,1,4,San Jose Sharks,Nashville Predators,20171105_161720
20171106_191720,1,2,Boston Bruins,Vegas Golden Knights,20171106_191720
20171105_134700,3,4,Washington Capitals,New York Islanders,20171105_134700
20171106_204724,1,3,Ottawa Senators,Detroit Red Wings,20171106_204724
20171105_071707,2,1,Tampa Bay Lightning,New York Rangers,20171105_071707
20171106_124733,7,3,Florida Panthers,Columbus Blue Jackets,20171106_124733
20171106_204728,2,0,St. Louis Blues,Philadelphia Flyers,20171106_204728
20171106_211727,3,6,Minnesota Wild,Montréal Canadiens,20171106_211727
20171106_194728,2,5,Winnipeg Jets,Dallas Stars,20171106_194728
20171106_154732,3,5,Colorado Avalanche,Carolina Hurricanes,20171106_154732
20171106_101738,1,2,Calgary Flames,Pittsburgh Penguins,20171106_101738
20200717_194219,5,4,Arizona Coyotes,Buffalo Sabres,20200717_194219
20171106_204736,3,5,Los Angeles Kings,Toronto Maple Leafs,20171106_204736
20171107_215728,3,6,Edmonton Oilers,New Jersey Devils,20171107_215728
20200717_194228,5,3,Anaheim Ducks,Nashville Predators,20200717_194228
20171107_034705,5,4,Ottawa Senators,Vegas Golden Knights,20171107_034705
20171107_205714,3,2,Boston Bruins,Washington Capitals,20171107_205714
20171108_225725,4,4,Tampa Bay Lightning,Columbus Blue Jackets,20171108_225725
20171107_202719,5,4,Florida Panthers,New York Rangers,20171107_202719
20171107_195722,4,4,Philadelphia Flyers,Colorado Avalanche,20171107_195722
20171108_175721,4,6,St. Louis Blues,Toronto Maple Leafs,20171108_175721
20171108_075727,5,4,Winnipeg Jets,Montréal Canadiens,20171108_075727
20171108_165732,1,5,Dallas Stars,Buffalo Sabres,20171108_165732
20171108_222732,2,0,Minnesota Wild,Chicago Blackhawks,20171108_222732
20200717_194236,1,1,Arizona Coyotes,Carolina Hurricanes,20200717_194236
20171108_232732,2,4,Vancouver Canucks,Pittsburgh Penguins,20171108_232732
20171108_145733,4,3,Los Angeles Kings,Nashville Predators,20171108_145733
20171108_205737,1,1,San Jose Sharks,Anaheim Ducks,20171108_205737
20171108_132711,4,0,Edmonton Oilers,Detroit Red Wings,20171108_132711
20171108_172714,4,6,New York Islanders,Colorado Avalanche,20171108_172714
20171109_145727,2,0,Chicago Blackhawks,Montréal Canadiens,20171109_145727
20171109_102728,4,4,Calgary Flames,New Jersey Devils,20171109_102728
20171110_032734,3,5,Boston Bruins,Minnesota Wild,20171110_032734
20171108_215705,3,3,Toronto Maple Leafs,Vegas Golden Knights,20171108_215705
20171110_022736,3,5,New York Rangers,Columbus Blue Jackets,20171110_022736
20171110_142724,2,3,Washington Capitals,Arizona Coyotes,20171110_142724
20171110_092729,4,1,Dallas Stars,Winnipeg Jets,20171110_092729
20171110_202727,3,2,Vancouver Canucks,Detroit Red Wings,20171110_202727
20171111_172719,1,3,Buffalo Sabres,Washington Capitals,20171111_172719
20171109_192705,3,1,New Jersey Devils,St. Louis Blues,20171109_192705
20171110_165709,2,1,New York Islanders,Edmonton Oilers,20171110_165709
20171110_215711,1,3,Pittsburgh Penguins,Arizona Coyotes,20171110_215711
20171111_175723,1,3,Carolina Hurricanes,Florida Panthers,20171111_175723
20171111_182730,3,1,Columbus Blue Jackets,Nashville Predators,20171111_182730
20171110_005717,2,3,Montréal Canadiens,Vegas Golden Knights,20171110_005717
20171111_125730,5,3,Calgary Flames,Vancouver Canucks,20171111_125730
20171111_135733,4,3,Anaheim Ducks,Los Angeles Kings,20171111_135733
20171111_012716,2,4,Toronto Maple Leafs,Minnesota Wild,20171111_012716
20171111_235716,2,4,New York Rangers,Boston Bruins,20171111_235716
20171111_085719,5,1,San Jose Sharks,Tampa Bay Lightning,20171111_085719
20171113_082730,3,2,New Jersey Devils,Edmonton Oilers,20171113_082730
20171113_065735,1,3,Philadelphia Flyers,Chicago Blackhawks,20171113_065735
20171113_175732,3,0,Montréal Canadiens,Minnesota Wild,20171113_175732
20171113_142733,2,2,St. Louis Blues,Arizona Coyotes,20171113_142733
20171113_095738,3,6,Calgary Flames,Detroit Red Wings,20171113_095738
20171113_135739,1,4,Anaheim Ducks,Vancouver Canucks,20171113_135739
20171113_215738,5,2,Los Angeles Kings,Tampa Bay Lightning,20171113_215738
20171114_175728,4,1,Buffalo Sabres,Florida Panthers,20171114_175728
20171114_162730,2,3,Toronto Maple Leafs,Boston Bruins,20171114_162730
20171111_182707,1,4,Washington Capitals,Pittsburgh Penguins,20171111_182707
20171113_182728,3,1,Columbus Blue Jackets,Carolina Hurricanes,20171113_182728
20171114_115732,0,5,Dallas Stars,New York Islanders,20171114_115732
20171114_212725,4,3,Colorado Avalanche,Ottawa Senators,20171114_212725
20171114_215735,2,5,Vegas Golden Knights,Winnipeg Jets,20171114_215735
20171115_142715,2,4,New York Rangers,Edmonton Oilers,20171115_142715
20171115_212717,4,1,Boston Bruins,Toronto Maple Leafs,20171115_212717
20171115_025733,1,2,Montréal Canadiens,Buffalo Sabres,20171115_025733
20171115_012718,3,4,Ottawa Senators,Colorado Avalanche,20171115_012718
20171113_182709,1,1,Detroit Red Wings,Columbus Blue Jackets,20171113_182709
20171114_175717,1,2,New Jersey Devils,Florida Panthers,20171114_175717
20171115_175719,1,0,Philadelphia Flyers,Minnesota Wild,20171115_175719
20171115_212725,4,3,Carolina Hurricanes,Chicago Blackhawks,20171115_212725
20171115_215727,5,2,St. Louis Blues,New York Islanders,20171115_215727
20171115_072729,4,4,Nashville Predators,Pittsburgh Penguins,20171115_072729
20171115_232730,4,1,Arizona Coyotes,Winnipeg Jets,20171115_232730
20171115_212731,0,5,San Jose Sharks,Vancouver Canucks,20171115_212731
20171115_142709,1,1,Washington Capitals,Edmonton Oilers,20171115_142709
20200102_230856,7,5,Chicago Blackhawks,New Jersey Devils,20200102_230856
20171116_202720,2,1,Anaheim Ducks,Tampa Bay Lightning,20171116_202720
20171116_185723,2,1,Los Angeles Kings,San Jose Sharks,20171116_185723
20171117_204538,1,5,Carolina Hurricanes,Dallas Stars,20171117_204538
20171116_045718,4,7,Calgary Flames,St. Louis Blues,20171116_045718
20171116_202702,4,5,Pittsburgh Penguins,Buffalo Sabres,20171116_202702
20171118_171545,2,1,Montréal Canadiens,Columbus Blue Jackets,20171118_171545
20171118_184557,3,3,Florida Panthers,Dallas Stars,20171118_184557
20171117_161531,3,6,Nashville Predators,Washington Capitals,20171117_161531
20171115_075103,0,3,Minnesota Wild,Philadelphia Flyers,20171115_075103
20171116_185710,1,4,Winnipeg Jets,Arizona Coyotes,20171116_185710
20171118_074559,2,8,Edmonton Oilers,Vegas Golden Knights,20171118_074559
20171118_094558,3,2,Los Angeles Kings,Vancouver Canucks,20171118_094558
20180327_161716,2,8,Detroit Red Wings,Calgary Flames,20180327_161716
20171119_214543,3,6,Chicago Blackhawks,New York Rangers,20171119_214543
20171118_214552,2,4,Anaheim Ducks,Boston Bruins,20171118_214552
20171119_024526,0,1,Toronto Maple Leafs,New Jersey Devils,20171119_024526
20171118_111522,4,6,New York Islanders,Carolina Hurricanes,20171118_111522
20171120_224545,5,4,Montréal Canadiens,Arizona Coyotes,20171120_224545
20171120_204550,3,1,Ottawa Senators,Pittsburgh Penguins,20171120_204550
20171120_204551,1,6,Tampa Bay Lightning,Dallas Stars,20171120_204551
20171120_074600,4,6,Minnesota Wild,Nashville Predators,20171120_074600
20171119_171534,2,2,Winnipeg Jets,Philadelphia Flyers,20171119_171534
20171120_154556,2,6,Colorado Avalanche,Washington Capitals,20171120_154556
20171119_001539,4,1,Edmonton Oilers,St. Louis Blues,20171119_001539
20171120_141558,5,2,Vancouver Canucks,Vegas Golden Knights,20171120_141558
20171119_194539,2,1,Los Angeles Kings,Boston Bruins,20171119_194539
20171119_161542,2,0,San Jose Sharks,Florida Panthers,20171119_161542
20171121_201550,0,2,Columbus Blue Jackets,New York Rangers,20171121_201550
20171121_204550,1,3,Detroit Red Wings,Buffalo Sabres,20171121_204550
20171122_154541,5,4,Philadelphia Flyers,Calgary Flames,20171122_154541
20171121_144534,3,2,Ottawa Senators,Arizona Coyotes,20171121_144534
20171122_161734,3,6,Dallas Stars,Edmonton Oilers,20171122_161734
20171122_174543,2,5,Winnipeg Jets,New Jersey Devils,20171122_174543
20171122_171545,0,4,Los Angeles Kings,Florida Panthers,20171122_171545
20171122_181548,3,1,Buffalo Sabres,Carolina Hurricanes,20171122_181548
20171121_221536,6,0,Montréal Canadiens,Toronto Maple Leafs,20171121_221536
20171122_174549,5,3,Tampa Bay Lightning,New York Islanders,20171122_174549
20171122_141601,2,1,Pittsburgh Penguins,Chicago Blackhawks,20171122_141601
20171121_174542,1,3,Washington Capitals,Minnesota Wild,20171121_174542
20171121_234544,2,5,Nashville Predators,Colorado Avalanche,20171121_234544
20171122_224554,4,3,Vancouver Canucks,St. Louis Blues,20171122_224554
20171122_201557,3,1,San Jose Sharks,Boston Bruins,20171122_201557
20171123_034558,2,4,Carolina Hurricanes,New York Islanders,20171123_034558
20171122_174532,4,3,Detroit Red Wings,Colorado Avalanche,20171122_174532
20171121_141526,0,3,New York Rangers,Ottawa Senators,20171121_141526
20171122_081540,2,4,Vegas Golden Knights,Los Angeles Kings,20171122_081540
20200717_194244,2,3,Anaheim Ducks,Florida Panthers,20200717_194244
20171124_161551,3,2,Buffalo Sabres,Columbus Blue Jackets,20171124_161551
20171124_101550,4,1,Toronto Maple Leafs,Arizona Coyotes,20171124_101550
20171123_184528,4,1,Washington Capitals,Calgary Flames,20171123_184528
20171124_154551,3,5,Nashville Predators,Winnipeg Jets,20171124_154551
20171124_094553,4,3,Minnesota Wild,New Jersey Devils,20171124_094553
20171124_184614,2,2,San Jose Sharks,Anaheim Ducks,20171124_184614
20171125_071608,5,2,Philadelphia Flyers,Vancouver Canucks,20171125_071608
20171124_171550,3,8,St. Louis Blues,Edmonton Oilers,20171124_171550
20200717_194252,1,3,Dallas Stars,Montréal Canadiens,20200717_194252
20171124_154520,5,4,Buffalo Sabres,Minnesota Wild,20171124_154520
20171123_172524,6,2,Detroit Red Wings,Edmonton Oilers,20171123_172524
20171125_174523,1,1,Florida Panthers,Toronto Maple Leafs,20171125_174523
20171126_031612,2,2,New Jersey Devils,Boston Bruins,20171126_031612
20171126_184552,3,4,New York Islanders,Philadelphia Flyers,20171126_184552
20171126_164558,5,2,Pittsburgh Penguins,Vancouver Canucks,20171126_164558
20171126_164559,2,5,Washington Capitals,Ottawa Senators,20171126_164559
20171126_181556,6,1,Carolina Hurricanes,New York Rangers,20171126_181556
20171126_164603,0,1,Columbus Blue Jackets,Calgary Flames,20171126_164603
20171126_131604,2,3,Tampa Bay Lightning,Chicago Blackhawks,20171126_131604
20171125_171536,2,2,Nashville Predators,Montréal Canadiens,20171125_171536
20171125_151538,0,3,Colorado Avalanche,Dallas Stars,20171125_151538
20171126_121604,3,1,Arizona Coyotes,San Jose Sharks,20171126_121604
20171126_211612,4,2,Anaheim Ducks,Vegas Golden Knights,20171126_211612
20171126_221604,2,1,Los Angeles Kings,Winnipeg Jets,20171126_221604
20171128_214555,3,4,Boston Bruins,Pittsburgh Penguins,20171128_214555
20171128_094557,5,4,Philadelphia Flyers,New York Islanders,20171128_094557
20171128_214558,2,2,Minnesota Wild,Colorado Avalanche,20171128_214558
20171128_114600,4,1,Anaheim Ducks,Winnipeg Jets,20171128_114600
20171128_194548,1,3,Washington Capitals,Tampa Bay Lightning,20171128_194548
20171127_204546,1,3,Buffalo Sabres,Edmonton Oilers,20171127_204546
20171128_144557,2,3,New Jersey Devils,Vancouver Canucks,20171128_144557
20171126_091532,1,2,New York Rangers,Detroit Red Wings,20171126_091532
20171128_194555,2,5,Columbus Blue Jackets,Ottawa Senators,20171128_194555
20171128_074609,5,4,Carolina Hurricanes,Toronto Maple Leafs,20171128_074609
20171126_024616,2,0,St. Louis Blues,Nashville Predators,20171126_024616
20171126_151541,4,6,Dallas Stars,Calgary Flames,20171126_151541
20171128_081607,2,3,Arizona Coyotes,Los Angeles Kings,20171128_081607
20171128_131607,4,5,Vegas Golden Knights,San Jose Sharks,20171128_131607
20171129_194535,4,2,Toronto Maple Leafs,Washington Capitals,20171129_194535
20171129_201539,0,3,Montréal Canadiens,Buffalo Sabres,20171129_201539
20171128_224529,2,1,Ottawa Senators,New York Islanders,20171128_224529
20171126_144527,4,3,Detroit Red Wings,New Jersey Devils,20171126_144527
20171129_134550,4,1,Florida Panthers,Chicago Blackhawks,20171129_134550
20171129_104549,2,5,Pittsburgh Penguins,Tampa Bay Lightning,20171129_104549
20171128_071541,3,6,St. Louis Blues,Minnesota Wild,20171128_071541
20171129_221554,4,2,Arizona Coyotes,Vegas Golden Knights,20171129_221554
20171129_104557,3,2,Colorado Avalanche,Calgary Flames,20171129_104557
20171129_104556,0,4,San Jose Sharks,Winnipeg Jets,20171129_104556
20171129_091554,1,1,Los Angeles Kings,Anaheim Ducks,20171129_091554
20171130_214546,3,3,Carolina Hurricanes,Nashville Predators,20171130_214546
20171130_184547,3,3,New York Rangers,Vancouver Canucks,20171130_184547
20171130_161551,4,2,Boston Bruins,Edmonton Oilers,20171130_161551
20171130_204537,3,2,New Jersey Devils,Florida Panthers,20171130_204537
20171201_081547,4,5,Pittsburgh Penguins,Philadelphia Flyers,20171201_081547
20171201_151545,1,3,Montréal Canadiens,Columbus Blue Jackets,20171201_151545
20171130_181541,2,7,Winnipeg Jets,Minnesota Wild,20171130_181541
20171201_201549,3,7,Chicago Blackhawks,Anaheim Ducks,20171201_201549
20171202_174540,2,0,Buffalo Sabres,Tampa Bay Lightning,20171202_174540
20171202_191542,2,5,New York Islanders,Vancouver Canucks,20171202_191542
20171201_184529,5,4,New York Rangers,Florida Panthers,20171201_184529
20171202_194544,3,1,Philadelphia Flyers,San Jose Sharks,20171202_194544
20171202_164552,2,2,Columbus Blue Jackets,Carolina Hurricanes,20171202_164552
20171201_184534,4,1,Detroit Red Wings,Los Angeles Kings,20171201_184534
20171129_214537,2,3,Nashville Predators,Chicago Blackhawks,20171129_214537
