Player,H_ymax,HR_ymax,R_ymax,RBI_ymax,BA_ymax,RAR,WAR,oWAR,WAR_best_7,WAR_7,oWAR_7,oWAR_best_7,RAR_best_7,RAR_max,AS,MVP,Rfield,OPS,ten,HOF
eastelu01,0,0,0,0,0,93,9.3,8.8,9.3,9.3,8.8,8.8,93,33,0,1,2,0.8167403277350922,0,0
eastete01,0,0,0,0,0,61,6.699999999999999,7.6000000000000005,6.699999999999999,6.699999999999999,7.6000000000000005,7.6000000000000005,61,23,0,0,-10,0.6959142726858185,0,0
echevan01,0,0,0,0,0,-6,-0.7999999999999999,0.8,-0.7999999999999999,-0.7999999999999999,0.8,0.8,-6,6,0,0,-15,0.7921206063634849,0,0
eckstda01,0,0,0,0,0,220,20.900000000000002,22.200000000000003,19.0,18.4,18.7,18.799999999999997,198,54,2,2,-12,0.6712061694178334,1,0
edench01,0,0,0,0,0,14,1.4,1.9,1.4,1.4,1.9,1.9,14,14,0,0,-4,0.7090517411443497,0,0
edmonji01,0,0,1,0,0,634,60.7,57.20000000000001,42.7,37.800000000000004,35.7,39.199999999999996,446,75,4,6,37,0.8994526268549976,1,0
edwarbr01,0,0,0,0,0,48,4.500000000000001,5.800000000000001,4.800000000000001,4.6000000000000005,5.8999999999999995,6.1000000000000005,50,21,2,1,-10,0.7177389548601414,0,0
edwarda01,0,0,0,0,0,3,0.09999999999999992,-1.0,0.09999999999999992,0.09999999999999992,-1.0,-1.0,3,7,0,0,10,0.6440340909090909,0,0
edwardo01,0,0,0,0,0,-11,-2.0,-0.8999999999999999,-2.0,-2.0,-0.8999999999999999,-0.8999999999999999,-11,10,0,0,-7,0.6012522824516937,0,0
edwarha01,0,0,0,0,0,104,10.500000000000002,10.499999999999998,10.9,10.5,10.1,10.799999999999999,107,39,0,0,0,0.7806456439110583,1,0
edwarjo01,0,0,0,0,0,144,14.899999999999999,13.200000000000001,15.299999999999999,10.8,8.700000000000001,13.8,141,33,3,1,6,0.6615562626927387,1,0
edwarmi01,0,0,0,0,0,-15,-1.7,-0.29999999999999993,-1.7,-1.7,-0.29999999999999993,-0.29999999999999993,-15,3,0,0,-14,0.5670094205722764,0,0
egandi01,0,0,0,0,0,68,6.7,5.8,7.300000000000001,7.0,5.6,5.7,70,34,0,0,10,0.5980281690140845,0,0
eganto01,0,0,0,0,0,-19,-2.9,-0.19999999999999993,-0.4,-0.5,1.1,1.6,0,7,0,0,-22,0.5550773850489568,1,0
eichrik01,0,0,0,0,0,-28,-2.7,-2.3,-2.7,-2.7,-2.3,-2.3,-28,0,0,0,-5,0.5747046052356896,0,0
