,Player,Player_name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
47,benchjo01,Johnny Bench,0.0,0.04,0.42,0.415,0.42,0.43,0.46,0.48,0.49,0.49,0.495,0.495,0.495,0.495,0.495,0.495,0.495,,,,,,,,
48,bennech01,Charlie Bennett,0.0,0.0,0.155,0.385,0.42,0.425,0.425,0.425,0.425,0.425,0.44,0.445,0.435,0.435,0.435,,,,,,,,,,
49,bergewa01,Wally Berger,0.135,0.41,0.395,0.42,0.41,0.435,0.485,0.475,0.48,0.475,0.475,,,,,,,,,,,,,,
50,berkmla01,Lance Berkman,0.0,0.0,0.34,0.41,0.405,0.415,0.42,0.475,0.475,0.455,0.455,0.455,0.455,0.455,0.455,,,,,,,,,,
51,berrayo01,Yogi Berra,0.0,0.0,0.02,0.12,0.405,0.405,0.43,0.415,0.42,0.445,0.485,0.49,0.49,0.49,0.51,0.51,0.51,0.51,0.51,,,,,,
52,bettsmo01,Mookie Betts,0.0,0.265,0.45,0.45,0.435,0.495,0.565,0.585,,,,,,,,,,,,,,,,,
53,biggicr01,Craig Biggio,0.0,0.005,0.12,0.395,0.385,0.39,0.41,0.455,0.465,0.475,0.5,0.505,0.5,0.51,0.51,0.51,0.51,0.555,0.55,0.55,,,,,
54,bishoma01,Max Bishop,0.0,0.09,0.24,0.4,0.41,0.405,0.41,0.43,0.43,0.43,0.43,0.43,,,,,,,,,,,,,
55,blairpa01,Paul Blair,0.0,0.0,0.295,0.415,0.43,0.43,0.43,0.445,0.44,0.445,0.44,0.44,0.44,0.44,0.44,,,,,,,,,,
56,bluegos01,Ossie Bluege,0.0,0.0,0.0,0.12,0.195,0.4,0.395,0.395,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,,,,,,,
57,bluelu01,Lu Blue,0.0,0.175,0.405,0.405,0.4,0.4,0.4,0.41,0.41,0.41,0.41,0.41,,,,,,,,,,,,,
58,bogaexa01,Xander Bogaerts,0.0,0.0,0.145,0.305,0.39,0.41,0.42,0.42,0.435,,,,,,,,,,,,,,,,
59,boggswa01,Wade Boggs,0.03,0.42,0.415,0.425,0.46,0.52,0.6,0.68,0.675,0.67,0.67,0.67,0.67,0.67,0.665,0.665,0.665,0.665,,,,,,,
60,bondsba01,Barry Bonds,0.01,0.295,0.425,0.43,0.45,0.47,0.59,0.61,0.61,0.62,0.66,0.66,0.665,0.665,0.655,0.64,0.655,0.635,0.625,0.625,0.625,0.625,,,
61,bondsbo01,Bobby Bonds,0.0,0.305,0.42,0.42,0.49,0.49,0.52,0.535,0.535,0.505,0.505,0.5,0.5,0.5,,,,,,,,,,,
62,bonilbo01,Bobby Bonilla,0.0,0.0,0.28,0.4,0.42,0.42,0.42,0.42,0.42,0.455,0.455,0.46,0.46,0.45,0.445,0.445,,,,,,,,,
63,boonebo01,Bob Boone,0.0,0.0,0.0,0.01,0.115,0.135,0.37,0.405,0.405,0.4,0.41,0.425,0.425,0.425,0.425,0.425,0.425,0.44,0.435,,,,,,
64,boonera01,Ray Boone,0.0,0.02,0.12,0.14,0.4,0.39,0.4,0.4,0.39,0.39,0.39,0.39,,,,,,,,,,,,,
65,bordimi01,Mike Bordick,0.0,0.0,0.135,0.175,0.24,0.38,0.385,0.4,0.395,0.425,0.425,0.425,0.425,0.425,,,,,,,,,,,
66,bottoji01,Jim Bottomley,0.0,0.14,0.235,0.4,0.405,0.405,0.415,0.455,0.455,0.455,0.46,0.455,0.455,0.455,0.455,0.455,,,,,,,,,
67,boudrlo01,Lou Boudreau,0.0,0.205,0.415,0.415,0.43,0.44,0.445,0.485,0.48,0.485,0.49,0.49,0.49,,,,,,,,,,,,
68,boyercl02,Clete Boyer,0.0,0.0,0.0,0.0,0.145,0.395,0.39,0.39,0.4,0.41,0.445,0.445,0.435,0.44,0.44,,,,,,,,,,
69,boyerke01,Ken Boyer,0.0,0.275,0.44,0.415,0.43,0.43,0.48,0.5,0.485,0.525,0.525,0.525,0.525,0.525,0.525,,,,,,,,,,
70,bradlbi01,Bill Bradley,0.0,0.0,0.15,0.42,0.435,0.435,0.45,0.45,0.445,0.45,0.45,0.445,,,,,,,,,,,,,
71,brantmi02,Michael Brantley,0.0,0.0,0.0,0.09,0.135,0.405,0.395,0.395,0.395,0.395,0.4,0.41,0.455,,,,,,,,,,,,
72,braunry02,Ryan Braun,0.0,0.27,0.405,0.425,0.425,0.475,0.485,0.475,0.45,0.455,0.45,0.455,0.455,0.455,,,,,,,,,,,
73,bresnro01,Roger Bresnahan,0.0,0.0,0.0,0.0,0.155,0.305,0.39,0.39,0.4,0.4,0.4,0.4,0.405,0.405,0.405,0.405,0.405,,,,,,,,
74,brettge01,George Brett,0.0,0.0,0.21,0.405,0.415,0.415,0.465,0.52,0.56,0.57,0.58,0.58,0.59,0.59,0.59,0.59,0.59,0.595,0.635,0.625,0.625,,,,
75,brocklo01,Lou Brock,0.0,0.0,0.0,0.295,0.4,0.405,0.415,0.425,0.42,0.41,0.42,0.435,0.435,0.5,0.505,0.505,0.505,0.505,0.505,,,,,,
76,broutda01,Dan Brouthers,0.0,0.0,0.005,0.34,0.41,0.41,0.405,0.47,0.485,0.55,0.55,0.585,0.57,0.595,0.615,0.62,0.63,,,,,,,,
77,brutobi01,Bill Bruton,0.0,0.0,0.11,0.22,0.375,0.405,0.405,0.41,0.41,0.41,0.41,0.41,,,,,,,,,,,,,
78,bryankr01,Kris Bryant,0.19,0.425,0.42,0.41,0.42,0.41,0.415,,,,,,,,,,,,,,,,,,
79,bufordo01,Don Buford,0.0,0.0,0.385,0.415,0.415,0.43,0.43,0.43,0.43,0.43,,,,,,,,,,,,,,,
80,burgesm01,Smoky Burgess,0.0,0.0,0.03,0.155,0.31,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.38,0.375,0.375,,,,,,,,,
81,burkeje01,Jesse Burkett,0.0,0.165,0.395,0.395,0.395,0.395,0.4,0.4,,,,,,,,,,,,,,,,,
82,burksel01,Ellis Burks,0.0,0.29,0.4,0.39,0.4,0.4,0.4,0.4,0.4,0.395,0.395,0.395,0.4,0.425,0.44,0.45,0.45,0.45,,,,,,,
83,burnsge01,George Burns,0.0,0.0,0.0,0.26,0.41,0.41,0.425,0.46,0.41,0.425,0.425,0.425,0.425,0.425,0.425,,,,,,,,,,
84,burnsge02,George Burns,0.0,0.035,0.12,0.12,0.405,0.4,0.39,0.39,0.4,0.4,0.405,0.405,0.41,0.41,0.415,0.42,,,,,,,,,
85,bushdo01,Donie Bush,0.0,0.21,0.415,0.4,0.41,0.41,0.415,0.41,0.415,0.44,0.425,0.425,0.42,0.43,0.43,0.43,,,,,,,,,
86,butlebr01,Brett Butler,0.0,0.0,0.0,0.16,0.41,0.4,0.39,0.395,0.395,0.455,0.455,0.46,0.465,0.445,0.45,0.45,0.45,,,,,,,,
87,byrdma01,Marlon Byrd,0.0,0.015,0.0,0.0,0.0,0.13,0.29,0.4,0.375,0.375,0.375,0.39,0.405,0.405,0.405,,,,,,,,,,
88,cabreas01,Asdrúbal Cabrera,0.0,0.085,0.25,0.39,0.405,0.39,0.39,0.39,0.39,0.39,0.395,0.4,0.405,0.41,0.41,,,,,,,,,,
89,cabremi01,Miguel Cabrera,0.0,0.125,0.355,0.405,0.405,0.41,0.44,0.46,0.52,0.54,0.58,0.61,0.61,0.61,0.61,0.61,0.61,0.6,0.6,,,,,,
90,cainlo01,Lorenzo Cain,0.0,0.0,0.015,0.125,0.385,0.44,0.44,0.44,0.445,0.45,0.46,0.45,,,,,,,,,,,,,
91,callijo01,Johnny Callison,0.0,0.0,0.0,0.01,0.295,0.425,0.44,0.44,0.44,0.43,0.43,0.43,0.43,0.43,0.43,0.43,,,,,,,,,
92,camermi01,Mike Cameron,0.0,0.0,0.12,0.155,0.4,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,,,,,,,,
93,camildo01,Dolph Camilli,0.0,0.0,0.0,0.255,0.405,0.405,0.405,0.41,0.505,0.48,0.485,0.485,,,,,,,,,,,,,
94,caminke01,Ken Caminiti,0.0,0.0,0.06,0.06,0.18,0.385,0.385,0.4,0.41,0.425,0.42,0.41,0.41,0.41,0.41,,,,,,,,,,
95,campabe01,Bert Campaneris,0.0,0.0,0.14,0.23,0.4,0.39,0.39,0.39,0.405,0.41,0.43,0.43,0.44,0.44,0.44,0.44,0.44,0.44,0.44,,,,,,
96,camparo01,Roy Campanella,0.0,0.18,0.415,0.435,0.44,0.43,0.43,0.475,0.46,0.47,,,,,,,,,,,,,,,
97,canoro01,Robinson Canó,0.0,0.075,0.405,0.405,0.395,0.415,0.41,0.495,0.49,0.49,0.545,0.575,0.575,0.57,0.57,0.57,,,,,,,,,
98,cansejo01,José Canseco,0.0,0.02,0.13,0.42,0.41,0.41,0.415,0.415,0.415,0.42,0.425,0.43,0.43,0.425,0.435,0.435,0.435,,,,,,,,
99,cardele01,Leo Cardenas,0.0,0.0,0.145,0.17,0.23,0.39,0.38,0.375,0.375,0.405,0.41,0.41,0.41,0.41,0.41,0.41,,,,,,,,,
100,carewro01,Rod Carew,0.0,0.115,0.4,0.39,0.39,0.39,0.395,0.47,0.475,0.54,0.59,0.62,0.62,0.62,0.62,0.64,0.64,0.64,0.63,,,,,,
101,careyma01,Max Carey,0.0,0.0,0.125,0.205,0.36,0.4,0.415,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.43,0.43,0.43,0.43,0.43,,,,,
102,carpema01,Matt Carpenter,0.0,0.0,0.215,0.415,0.405,0.405,0.405,0.405,0.415,0.415,0.415,,,,,,,,,,,,,,
103,cartega01,Gary Carter,0.0,0.015,0.115,0.395,0.41,0.41,0.43,0.43,0.46,0.51,0.505,0.495,0.495,0.495,0.49,0.49,0.5,0.5,0.505,,,,,,
104,cartyri01,Rico Carty,0.135,0.19,0.395,0.38,0.38,0.39,0.39,0.39,0.39,0.39,0.395,0.395,0.395,0.395,,,,,,,,,,,
105,cashda01,Dave Cash,0.0,0.0,0.12,0.2,0.35,0.42,0.42,0.41,0.41,0.41,0.41,0.41,,,,,,,,,,,,,
106,cashno01,Norm Cash,0.0,0.0,0.01,0.405,0.41,0.42,0.435,0.435,0.44,0.45,0.45,0.46,0.46,0.47,0.47,0.475,0.46,,,,,,,,
107,castilu01,Luis Castillo,0.0,0.0,0.0,0.0,0.23,0.315,0.405,0.4,0.4,0.395,0.395,0.39,0.39,0.39,0.39,,,,,,,,,,
108,cavarph01,Phil Cavarretta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.25,0.385,0.385,0.39,0.4,0.39,0.39,0.4,0.415,0.415,0.42,0.42,,,,,
