Player.Name,Period.Name,Position.Name,Total.Player.Load,Player.Load.Per.Minute,Maximum.Heart.Rate,Minimum.Heart.Rate,Avg.Heart.Rate,Date
35,Group 1 11,F,4.84867,16.72917,0,0,0,8/6/2019
62,Group 1 11,F,6.21995,21.46042,192,159,171.83908,8/6/2019
10,Group 1 11,D,5.00755,17.27734,192,151,177.07471,8/6/2019
97,Group 1 11,F,4.0174,13.86105,0,0,0,8/6/2019
48,Group 1 11,M,4.96034,17.11446,195,173,186.60345,8/6/2019
34,Group 1 11,M,5.48587,18.92767,180,179,179.5,8/6/2019
23,Group 1 11,GK,4.44871,15.34921,186,181,183.62644,8/6/2019
43,Group 1 11,M,5.66257,19.53734,186,169,179.44828,8/6/2019
52,Group 1 11,D,5.70405,19.68044,186,181,184.58046,8/6/2019
12,Group 1 12,D,4.75963,16.54565,203,0,187.80368,8/6/2019
89,Group 1 12,GK,4.50781,15.67026,186,179,182.35838,8/6/2019
15,Group 1 12,D,5.81679,20.2206,189,179,184.44509,8/6/2019
35,Group 1 12,F,5.08565,17.67898,0,0,0,8/6/2019
62,Group 1 12,F,6.38975,22.21235,170,153,160.6763,8/6/2019
10,Group 1 12,D,5.17502,17.98965,196,0,183.72781,8/6/2019
97,Group 1 12,F,4.18659,14.55361,0,0,0,8/6/2019
48,Group 1 12,M,4.96644,17.26455,195,188,191.77457,8/6/2019
34,Group 1 12,M,5.65881,19.67142,183,171,179.18497,8/6/2019
23,Group 1 12,GK,4.58529,15.93958,186,181,182.84393,8/6/2019
43,Group 1 12,M,5.84462,20.31733,183,183,183,8/6/2019
52,Group 1 12,D,5.6017,19.47288,189,184,185.83237,8/6/2019
12,Group 1 13,D,4.797,16.67557,186,0,177.37888,8/6/2019
89,Group 1 13,GK,4.48225,15.58141,186,177,183.06977,8/6/2019
15,Group 1 13,D,5.68084,19.748,189,182,185.88372,8/6/2019
35,Group 1 13,F,4.92531,17.12158,0,0,0,8/6/2019
62,Group 1 13,F,6.00189,20.86405,178,154,165.43353,8/6/2019
10,Group 1 13,D,5.17766,17.99883,178,0,169,8/6/2019
97,Group 1 13,F,4.25295,14.7843,0,0,0,8/6/2019
48,Group 1 13,M,5.06027,17.59074,198,193,193.68605,8/6/2019
34,Group 1 13,M,5.55536,19.31181,184,179,180.61628,8/6/2019
23,Group 1 13,GK,4.39994,15.29529,186,181,183.13372,8/6/2019
43,Group 1 13,M,5.76841,20.05241,186,155,171.02907,8/6/2019
52,Group 1 13,D,5.71872,19.87968,189,184,186.6686,8/6/2019
12,Group 1 14,D,4.92137,15.41137,186,0,174.99451,8/6/2019
89,Group 1 14,GK,4.63257,14.507,189,169,183.47917,8/6/2019
15,Group 1 14,D,5.7126,17.88914,186,173,183.13542,8/6/2019
35,Group 1 14,F,5.14137,16.10032,0,0,0,8/6/2019
62,Group 1 14,F,6.41284,20.08195,205,150,184.49479,8/6/2019
10,Group 1 14,D,5.19151,16.25734,187,0,175.60116,8/6/2019
97,Group 1 14,F,4.37435,13.69837,0,0,0,8/6/2019
48,Group 1 14,M,5.20184,16.28969,199,187,193.56771,8/6/2019
34,Group 1 14,M,5.69479,17.83336,183,172,179.63542,8/6/2019
23,Group 1 14,GK,4.45369,13.94683,186,183,185.29688,8/6/2019
43,Group 1 14,M,6.0276,18.87558,193,0,182.03723,8/6/2019
52,Group 1 14,D,5.94617,18.62057,189,186,187.77083,8/6/2019
12,Group 1 15,D,4.98733,16.93491,188,0,175.75449,8/6/2019
89,Group 1 15,GK,4.70048,15.96088,189,160,183,8/6/2019
15,Group 1 15,D,6.28846,21.35302,189,169,180.17045,8/6/2019
35,Group 1 15,F,5.10835,17.34583,0,0,0,8/6/2019
62,Group 1 15,F,6.28441,21.33924,210,179,196.40678,8/6/2019
10,Group 1 15,D,5.27356,17.90681,178,0,166.69136,8/6/2019
97,Group 1 15,F,4.32285,14.67862,0,0,0,8/6/2019
48,Group 1 15,M,5.00646,16.99988,199,178,191.75,8/6/2019
34,Group 1 15,M,5.77177,19.59852,186,181,182.77841,8/6/2019
23,Group 1 15,GK,4.52727,15.37272,186,182,184.82955,8/6/2019
43,Group 1 15,M,5.94778,20.19619,189,0,177.83333,8/6/2019
52,Group 1 15,D,5.93826,20.16387,189,184,187.85227,8/6/2019
12,Group 1 16,D,4.9256,15.87197,202,0,188.08889,8/6/2019
89,Group 1 16,GK,4.38219,14.12091,192,184,187.0914,8/6/2019
15,Group 1 16,D,5.86637,18.90344,199,181,189.51075,8/6/2019
35,Group 1 16,F,5.27553,16.99956,0,0,0,8/6/2019
62,Group 1 16,F,6.12695,19.74313,207,0,197.14444,8/6/2019
10,Group 1 16,D,5.23959,16.88376,175,0,170.51479,8/6/2019
97,Group 1 16,F,4.47059,14.40576,0,0,0,8/6/2019
48,Group 1 16,M,4.88587,15.74395,200,187,194.18817,8/6/2019
34,Group 1 16,M,5.77729,18.61641,186,181,183.82796,8/6/2019
23,Group 1 16,GK,4.87394,15.70549,186,184,185,8/6/2019
43,Group 1 16,M,6.09196,19.63039,189,0,185.77778,8/6/2019
52,Group 1 16,D,5.89268,18.98821,193,187,189.67204,8/6/2019
12,Group 1 17,D,4.98013,15.80994,186,0,168.03209,8/6/2019
89,Group 1 17,GK,4.61462,14.64959,189,182,186.97354,8/6/2019
15,Group 1 17,D,6.03555,19.16049,195,177,188.08466,8/6/2019
35,Group 1 17,F,5.34503,16.96835,0,0,0,8/6/2019
62,Group 1 17,F,6.07639,19.29014,195,0,186.84783,8/6/2019
10,Group 1 17,D,5.06715,16.08618,179,0,165.70122,8/6/2019
97,Group 1 17,F,4.20421,13.34669,0,0,0,8/6/2019
48,Group 1 17,M,5.19447,16.49039,198,186,194.7037,8/6/2019
34,Group 1 17,M,5.80836,18.43924,186,181,183.56085,8/6/2019
23,Group 1 17,GK,3.74848,11.89992,186,184,184.6631,8/6/2019
43,Group 1 17,M,5.86485,18.61858,189,160,176,8/6/2019
52,Group 1 17,D,5.94423,18.87057,193,187,189.06349,8/6/2019
12,Group 1 18,D,5.08417,17.95468,186,0,177.90683,8/6/2019
89,Group 1 18,GK,4.15378,14.66903,189,181,186.42941,8/6/2019
15,Group 1 18,D,5.74046,20.27239,195,180,188.22941,8/6/2019
35,Group 1 18,F,5.17133,18.26249,0,0,0,8/6/2019
62,Group 1 18,F,6.13337,21.65994,185,185,185,8/6/2019
10,Group 1 18,D,5.42277,19.15046,161,0,155.48571,8/6/2019
97,Group 1 18,F,4.33528,15.30999,0,0,0,8/6/2019
48,Group 1 18,M,5.1261,18.10278,200,187,195.35294,8/6/2019
34,Group 1 18,M,5.77651,20.39967,186,184,185.04706,8/6/2019
43,Group 1 18,M,5.91749,20.89756,189,173,185.39412,8/6/2019
52,Group 1 18,D,6.18034,21.8258,193,188,189.87647,8/6/2019
12,Group 1 19,D,5.0478,17.14025,195,0,180.09412,8/6/2019
89,Group 1 19,GK,4.44517,15.09395,189,184,188.125,8/6/2019
15,Group 1 19,D,5.74912,19.52163,196,174,188.0625,8/6/2019
35,Group 1 19,F,5.30403,18.01028,0,0,0,8/6/2019
62,Group 1 19,F,6.28645,21.34617,185,185,185,8/6/2019
10,Group 1 19,D,5.33234,18.10641,192,143,176.82955,8/6/2019
97,Group 1 19,F,4.28902,14.56374,0,0,0,8/6/2019
48,Group 1 19,M,5.13622,17.44046,199,185,193.25424,8/6/2019
34,Group 1 19,M,5.832,19.80307,189,184,185.22034,8/6/2019
43,Group 1 19,M,6.10215,20.72036,189,0,183.07514,8/6/2019
52,Group 1 19,D,5.96915,20.26876,193,187,190.25568,8/6/2019
12,Group 1 20,D,5.0547,15.93704,181,0,169.01676,8/6/2019
89,Group 1 20,GK,4.40546,13.89005,192,182,188.50785,8/6/2019
15,Group 1 20,D,5.96921,18.82041,199,188,194.32461,8/6/2019
35,Group 1 20,F,5.33217,16.81187,0,0,0,8/6/2019
62,Group 1 20,F,6.32794,19.95148,185,185,185,8/6/2019
10,Group 1 20,D,5.2905,16.68051,189,0,162.27778,8/6/2019
97,Group 1 20,F,4.49876,14.18421,0,0,0,8/6/2019
48,Group 1 20,M,5.27684,16.63744,203,194,198.99476,8/6/2019
34,Group 1 20,M,5.79617,18.27485,190,181,185.74737,8/6/2019
43,Group 1 20,M,6.32722,19.94921,192,0,189.29255,8/6/2019
52,Group 1 20,D,6.06558,19.12428,195,190,191.87958,8/6/2019
12,Group 1 21,D,5.07905,17.65604,175,0,167.4497,8/6/2019
89,Group 1 21,GK,4.35174,15.12773,189,184,187.45087,8/6/2019
15,Group 1 21,D,5.91145,20.54964,194,181,188.17341,8/6/2019
35,Group 1 21,F,5.44544,18.9297,0,0,0,8/6/2019
62,Group 1 21,F,6.32482,21.98662,185,185,185,8/6/2019
