tricode,pp,pk,ppgf,competition_name,tid,type,win,goals_for,goals_against,game_count,team_name,win_pct,avg_gf,avg_ga
CGY,247,311,58.0,2014 NHL Regular Season,11,2,41,236.0,217.0,80,Calgary Flames,0.5125,2.95,2.7125
CHI,252,307,53.0,2014 NHL Regular Season,6,2,46,232.0,189.0,80,Chicago Blackhawks,0.575,2.9,2.3625
COL,295,309,15.0,2014 NHL Regular Season,22,2,39,232.0,229.0,81,Colorado Avalanche,0.48148148148148145,2.8641975308641974,2.8271604938271606
DAL,302,331,58.0,2014 NHL Regular Season,46,2,38,251.0,250.0,77,Dallas Stars,0.4935064935064935,3.25974025974026,3.2467532467532467
DET,337,344,73.0,2014 NHL Regular Season,18,2,42,244.0,233.0,81,Detroit Red Wings,0.5185185185185185,3.0123456790123457,2.876543209876543
EDM,267,277,45.0,2014 NHL Regular Season,10,2,23,198.0,283.0,80,Edmonton Oilers,0.2875,2.475,3.5375
FLA,320,315,42.0,2014 NHL Regular Season,45,2,36,212.0,236.0,81,Florida Panthers,0.4444444444444444,2.617283950617284,2.9135802469135803
LAK,301,306,54.0,2014 NHL Regular Season,41,2,39,219.0,202.0,80,Los Angeles Kings,0.4875,2.7375,2.525
MIN,297,313,53.0,2014 NHL Regular Season,35,2,46,237.0,207.0,82,Minnesota Wild,0.5609756097560976,2.8902439024390243,2.524390243902439
MTL,316,305,39.0,2014 NHL Regular Season,2,2,49,223.0,188.0,79,Montréal Canadiens,0.620253164556962,2.8227848101265822,2.3797468354430378
NJD,322,272,25.0,2014 NHL Regular Season,29,2,32,187.0,221.0,82,New Jersey Devils,0.3902439024390244,2.2804878048780486,2.6951219512195124
NSH,287,312,45.0,2014 NHL Regular Season,19,2,46,235.0,216.0,81,Nashville Predators,0.5679012345679012,2.9012345679012346,2.6666666666666665
NYI,281,326,58.0,2014 NHL Regular Season,51,2,46,258.0,236.0,81,New York Islanders,0.5679012345679012,3.185185185185185,2.9135802469135803
NYR,291,282,55.0,2014 NHL Regular Season,28,2,53,255.0,195.0,81,New York Rangers,0.654320987654321,3.1481481481481484,2.4074074074074074
OTT,334,355,55.0,2014 NHL Regular Season,32,2,42,243.0,222.0,81,Ottawa Senators,0.5185185185185185,3.0,2.740740740740741
PHI,329,314,70.0,2014 NHL Regular Season,14,2,32,219.0,242.0,81,Philadelphia Flyers,0.3950617283950617,2.7037037037037037,2.9876543209876543
PIT,407,380,54.0,2014 NHL Regular Season,8,2,43,229.0,218.0,82,Pittsburgh Penguins,0.524390243902439,2.792682926829268,2.658536585365854
