tricode,pp,pk,ppgf,competition_name
SJS,51,57,11,2017 NHL Playoff
TBL,67,73,18,2017 NHL Playoff
TOR,26,21,4,2017 NHL Playoff
VGK,93,84,12,2017 NHL Playoff
WPG,54,62,12,2017 NHL Playoff
WSH,95,97,22,2017 NHL Playoff
ANA,317,260,39,2017 NHL Regular Season
ARI,263,291,47,2017 NHL Regular Season
BOS,308,319,72,2017 NHL Regular Season
BUF,257,278,16,2017 NHL Regular Season
CAR,218,255,51,2017 NHL Regular Season
CBJ,246,268,45,2017 NHL Regular Season
CGY,353,350,47,2017 NHL Regular Season
CHI,268,303,49,2017 NHL Regular Season
COL,305,330,67,2017 NHL Regular Season
DAL,323,304,56,2017 NHL Regular Season
DET,293,278,48,2017 NHL Regular Season
EDM,289,255,28,2017 NHL Regular Season
FLA,307,328,55,2017 NHL Regular Season
LAK,313,289,53,2017 NHL Regular Season
MIN,300,270,51,2017 NHL Regular Season
MTL,300,278,53,2017 NHL Regular Season
NJD,294,289,52,2017 NHL Regular Season
NSH,365,334,58,2017 NHL Regular Season
NYI,273,282,62,2017 NHL Regular Season
NYR,285,278,55,2017 NHL Regular Season
OTT,276,287,46,2017 NHL Regular Season
PHI,280,321,59,2017 NHL Regular Season
PIT,326,317,47,2017 NHL Regular Season
SJS,262,287,55,2017 NHL Regular Season
STL,259,281,43,2017 NHL Regular Season
TBL,319,322,72,2017 NHL Regular Season
TOR,256,245,58,2017 NHL Regular Season
VAN,299,272,63,2017 NHL Regular Season
VGK,257,273,64,2017 NHL Regular Season
WPG,307,304,69,2017 NHL Regular Season
WSH,327,297,67,2017 NHL Regular Season
